Notes	Census Region	Census Region Code	State	State Code	Month	Month Code	Deaths	Population	Crude Rate
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Sep., 2020"	2020/09	1108	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Oct., 2020"	2020/10	1167	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Nov., 2020"	2020/11	1160	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Dec., 2020"	2020/12	1243	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jan., 2021 "	2021/01	1389	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Feb., 2021 "	2021/02	1214	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Mar., 2021 "	2021/03	1273	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Apr., 2021 "	2021/04	1224	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"May, 2021 "	2021/05	1182	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jun., 2021 "	2021/06	1092	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Jul., 2021 "	2021/07	1151	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Aug., 2021 "	2021/08	1242	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Sep., 2021 "	2021/09	1213	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Oct., 2021 "	2021/10	1303	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Nov., 2021 "	2021/11	1249	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Massachusetts	25	"Dec., 2021 "	2021/12	1426	Not Applicable	Not Applicable
Total	Census Region 1: Northeast	CENS-R1	Massachusetts	25			56130	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jan., 2018"	2018/01	265	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Feb., 2018"	2018/02	270	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Mar., 2018"	2018/03	259	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Apr., 2018"	2018/04	256	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"May, 2018"	2018/05	256	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jun., 2018"	2018/06	235	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jul., 2018"	2018/07	279	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Aug., 2018"	2018/08	254	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Sep., 2018"	2018/09	256	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Oct., 2018"	2018/10	273	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Nov., 2018"	2018/11	275	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Dec., 2018"	2018/12	277	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jan., 2019"	2019/01	268	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Feb., 2019"	2019/02	245	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Mar., 2019"	2019/03	261	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Apr., 2019"	2019/04	275	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"May, 2019"	2019/05	239	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jun., 2019"	2019/06	230	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jul., 2019"	2019/07	252	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Aug., 2019"	2019/08	250	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Sep., 2019"	2019/09	241	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Oct., 2019"	2019/10	259	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Nov., 2019"	2019/11	246	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Dec., 2019"	2019/12	290	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jan., 2020"	2020/01	261	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Feb., 2020"	2020/02	247	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Mar., 2020"	2020/03	272	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Apr., 2020"	2020/04	277	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"May, 2020"	2020/05	289	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jun., 2020"	2020/06	220	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jul., 2020"	2020/07	244	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Aug., 2020"	2020/08	242	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Sep., 2020"	2020/09	249	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Oct., 2020"	2020/10	233	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Nov., 2020"	2020/11	268	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Dec., 2020"	2020/12	271	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jan., 2021 "	2021/01	281	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Feb., 2021 "	2021/02	219	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Mar., 2021 "	2021/03	272	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Apr., 2021 "	2021/04	268	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"May, 2021 "	2021/05	288	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jun., 2021 "	2021/06	275	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Jul., 2021 "	2021/07	244	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Aug., 2021 "	2021/08	298	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Sep., 2021 "	2021/09	298	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Oct., 2021 "	2021/10	307	Not Applicable	Not Applicable
